No.,Ticker,Perf Week,Perf Month,Perf Quart,Perf Half,Perf Year,Perf YTD,Volatility W,Volatility M,Recom,Avg Volume,Rel Volume,Price,Change,Volume
2,VTRS,-4.66%,-3.29%,-20.05%,-4.76%,-36.80%,-30.45%,2.72%,2.98%,2.60,11.16M,0.94,9.62,2.23%,"4,586,017"
3,LUMN,-6.03%,-9.46%,-17.56%,-9.46%,-20.28%,-22.95%,2.79%,2.38%,3.40,10.03M,0.77,9.77,1.09%,"3,386,278"
4,AMCR,-3.34%,-3.42%,-12.16%,9.82%,-6.55%,-1.33%,2.09%,2.19%,3.00,9.46M,0.72,11.99,1.18%,"2,996,888"
5,WBD,-4.32%,-13.43%,-25.04%,-50.57%,-55.39%,-46.35%,3.83%,4.81%,2.40,24.33M,0.59,12.85,1.74%,"6,297,620"
6,HPE,-4.15%,-8.43%,-13.60%,-16.61%,-15.05%,-16.61%,2.55%,2.35%,2.50,10.29M,0.72,13.22,0.49%,"3,222,118"
7,HBAN,-2.23%,-2.08%,-3.87%,-6.53%,-13.64%,-14.59%,2.62%,1.99%,2.60,12.03M,0.59,13.35,1.37%,"3,098,531"
8,AAL,-2.15%,-10.31%,-18.90%,2.96%,-31.75%,-26.39%,3.90%,3.22%,3.00,32.89M,1.01,13.41,1.48%,"14,528,900"
9,NCLH,-1.84%,0.83%,-15.43%,-13.39%,-45.90%,-35.78%,6.34%,5.53%,2.40,21.08M,1.01,13.60,2.12%,"9,342,373"
10,F,-3.47%,-1.76%,11.66%,-5.89%,16.60%,-27.64%,3.00%,2.80%,2.70,61.29M,0.83,15.23,1.30%,"22,315,902"
11,IVZ,-3.24%,-8.31%,-13.21%,-11.86%,-33.96%,-28.63%,3.13%,2.36%,-,3.85M,0.76,16.44,0.06%,"1,273,737"
12,NWSA,-4.86%,-3.29%,-5.35%,-18.89%,-27.08%,-26.27%,2.47%,2.74%,1.90,2.72M,0.56,16.66,1.28%,"662,663"
13,T,-5.57%,-8.50%,-19.82%,-5.91%,-19.53%,-9.85%,1.94%,1.48%,2.70,37.53M,1.30,16.92,0.77%,"21,362,445"
14,NWL,-10.67%,-14.26%,-20.15%,-22.54%,-33.44%,-21.79%,3.55%,2.65%,2.40,3.00M,2.01,16.93,-0.85%,"2,642,851"
15,NWS,-4.71%,-2.33%,-5.09%,-18.18%,-24.13%,-25.38%,2.49%,2.44%,-,611.93K,1.21,16.95,0.95%,"324,157"
16,DISH,-3.81%,-13.23%,-22.58%,-43.47%,-63.33%,-48.64%,4.57%,4.21%,2.20,3.72M,0.42,17.03,2.22%,"676,582"
17,HST,-5.40%,-5.40%,-19.66%,2.60%,5.13%,-2.24%,3.21%,2.48%,2.20,7.92M,0.74,17.20,1.18%,"2,578,406"
18,KEY,-3.83%,-4.10%,-11.90%,-21.70%,-13.62%,-25.12%,2.57%,2.15%,2.70,9.54M,0.51,17.53,1.21%,"2,120,601"
19,KMI,-6.18%,1.72%,-10.21%,-5.07%,8.75%,12.04%,2.66%,1.89%,2.90,15.21M,0.75,17.76,-0.07%,"4,987,156"
20,RF,-3.36%,-1.59%,-3.54%,-1.18%,6.60%,-3.62%,2.52%,1.98%,2.20,6.97M,0.74,21.31,1.43%,"2,252,448"
22,NLOK,-3.03%,-8.67%,-10.30%,-22.01%,-18.95%,-14.90%,2.50%,2.10%,2.40,5.96M,0.87,22.53,1.92%,"2,258,651"
23,PARA,-5.92%,-5.61%,-24.72%,-31.68%,-44.53%,-24.12%,4.17%,3.92%,2.90,9.03M,0.73,23.19,1.27%,"2,888,424"
24,BKR,-5.11%,3.45%,-33.94%,-28.44%,7.47%,3.45%,3.56%,3.42%,2.00,9.74M,1.33,24.07,-3.31%,"5,655,221"
25,MRO,-4.74%,17.23%,-18.75%,4.89%,119.43%,55.42%,3.67%,3.88%,2.30,17.08M,0.81,25.02,-1.96%,"6,078,711"
26,BEN,-0.77%,-6.29%,-3.25%,-4.78%,-19.03%,-22.63%,2.06%,1.86%,3.30,2.73M,0.77,25.78,-0.50%,"916,248"
27,DXC,8.24%,3.37%,-25.42%,-8.81%,-26.71%,-17.99%,5.32%,3.49%,2.80,1.80M,1.18,26.10,-1.14%,"924,633"
28,VNO,-1.09%,-4.77%,-20.47%,-39.04%,-37.08%,-37.08%,2.84%,2.58%,3.10,2.01M,0.50,26.36,0.08%,"441,454"
29,PEAK,-2.06%,-1.28%,-8.14%,-18.63%,-28.01%,-27.49%,2.27%,2.06%,2.30,4.10M,0.23,26.41,0.92%,"413,499"
30,AES,2.24%,7.56%,14.71%,19.11%,5.72%,7.20%,2.32%,2.29%,1.80,5.40M,0.99,26.72,2.55%,"2,333,032"
31,HPQ,-13.32%,-18.61%,-30.85%,-23.36%,-8.47%,-27.45%,3.73%,2.99%,3.10,8.97M,1.03,27.03,-1.08%,"4,024,007"
32,IPG,-4.69%,-6.96%,-13.79%,-16.15%,-27.61%,-27.90%,2.37%,2.06%,2.30,3.17M,0.60,27.41,1.50%,"835,488"
33,NLSN,0.04%,20.92%,9.94%,66.93%,32.79%,35.84%,0.20%,0.51%,2.90,3.70M,0.22,27.86,0.00%,"352,952"
